year,cause,sex,deaths
2014,Car occupant injured in collision with two- or three-wheeled motor vehicle (V42),persons,1.0
2014,Car occupant injured in noncollision transport accident (V48),females,33.0
2014,Car occupant injured in noncollision transport accident (V48),males,90.0
2014,Car occupant injured in noncollision transport accident (V48),persons,123.0
2014,Car occupant injured in other and unspecified transport accidents (V49),females,1.0
2014,Car occupant injured in other and unspecified transport accidents (V49),males,3.0
2014,Car occupant injured in other and unspecified transport accidents (V49),persons,4.0
2014,Car occupant injured in transport accident (V40-V49),females,257.0
2014,Car occupant injured in transport accident (V40-V49),males,463.0
2014,Car occupant injured in transport accident (V40-V49),persons,720.0
2014,Carcinoma in situ of skin (D04),females,1.0
2014,Carcinoma in situ of skin (D04),persons,1.0
2014,Cardiac arrest (I46),females,96.0
2014,Cardiac arrest (I46),males,81.0
2014,Cardiac arrest (I46),persons,177.0
2014,Cardiomyopathy (I42),females,337.0
2014,Cardiomyopathy (I42),males,694.0
2014,Cardiomyopathy (I42),persons,1031.0
2014,Cardiovascular devices associated with adverse incidents (Y71),females,1.0
2014,Cardiovascular devices associated with adverse incidents (Y71),persons,1.0
2014,Cardiovascular disorders originating in the perinatal period (P29),females,1.0
2014,Cardiovascular disorders originating in the perinatal period (P29),males,3.0
2014,Cardiovascular disorders originating in the perinatal period (P29),persons,4.0
2014,"Caught, crushed, jammed or pinched in or between objects (W23)",females,1.0
2014,"Caught, crushed, jammed or pinched in or between objects (W23)",males,35.0
2014,"Caught, crushed, jammed or pinched in or between objects (W23)",persons,36.0
2014,Cellulitis (L03),females,144.0
2014,Cellulitis (L03),males,111.0
2014,Cellulitis (L03),persons,255.0
2014,Cerebral infarction (I63),females,669.0
2014,Cerebral infarction (I63),males,534.0
2014,Cerebral infarction (I63),persons,1203.0
2014,Cerebral palsy (G80),females,41.0
2014,Cerebral palsy (G80),males,64.0
2014,Cerebral palsy (G80),persons,105.0
2014,Cerebral palsy and other paralytic syndromes (G80-G83),females,85.0
2014,Cerebral palsy and other paralytic syndromes (G80-G83),males,125.0
2014,Cerebral palsy and other paralytic syndromes (G80-G83),persons,210.0
2014,Cerebrovascular diseases (I60-I69),females,6453.0
2014,Cerebrovascular diseases (I60-I69),males,4292.0
2014,Cerebrovascular diseases (I60-I69),persons,10745.0
2014,Certain disorders involving the immune mechanism (D80-D89),females,41.0
2014,Certain disorders involving the immune mechanism (D80-D89),males,37.0
2014,Certain disorders involving the immune mechanism (D80-D89),persons,78.0
2014,Certain zoonotic bacterial diseases  (A20-A28),females,3.0
2014,Certain zoonotic bacterial diseases  (A20-A28),males,1.0
2014,Certain zoonotic bacterial diseases  (A20-A28),persons,4.0
2014,Cervical disc disorders (M50),males,1.0
2014,Cervical disc disorders (M50),persons,1.0
2014,Cholecystitis (K81),females,66.0
2014,Cholecystitis (K81),males,85.0
2014,Cholecystitis (K81),persons,151.0
2014,Cholelithiasis (K80),females,55.0
2014,Cholelithiasis (K80),males,42.0
2014,Cholelithiasis (K80),persons,97.0
2014,Cholesteatoma of middle ear (H71),females,1.0
2014,Cholesteatoma of middle ear (H71),males,1.0
2014,Cholesteatoma of middle ear (H71),persons,2.0
2014,Chondropathies (M91-M94),males,1.0
2014,Chondropathies (M91-M94),persons,1.0
2014,Chronic diseases of tonsils and adenoids (J35),males,1.0
2014,Chronic diseases of tonsils and adenoids (J35),persons,1.0
2014,"Chronic hepatitis, not elsewhere classified (K73)",males,1.0
2014,"Chronic hepatitis, not elsewhere classified (K73)",persons,1.0
2014,Chronic ischaemic heart disease (I25),females,4704.0
2014,Chronic ischaemic heart disease (I25),males,6487.0
2014,Chronic ischaemic heart disease (I25),persons,11191.0
2014,Chronic kidney disease (N18),females,680.0
2014,Chronic kidney disease (N18),males,611.0
2014,Chronic kidney disease (N18),persons,1291.0
2014,Chronic lower respiratory diseases (J40-J47),females,3709.0
2014,Chronic lower respiratory diseases (J40-J47),males,4182.0
2014,Chronic lower respiratory diseases (J40-J47),persons,7891.0
2014,Chronic nephritic syndrome (N03),females,4.0
2014,Chronic nephritic syndrome (N03),males,8.0
2014,Chronic nephritic syndrome (N03),persons,12.0
2014,Chronic respiratory disease originating in the perinatal period (P27),females,2.0
2014,Chronic respiratory disease originating in the perinatal period (P27),males,10.0
2014,Chronic respiratory disease originating in the perinatal period (P27),persons,12.0
2014,Chronic rheumatic heart diseases (I05-I09),females,245.0
2014,Chronic rheumatic heart diseases (I05-I09),males,119.0
2014,Chronic rheumatic heart diseases (I05-I09),persons,364.0
2014,Chronic sinusitis (J32),females,3.0
2014,Chronic sinusitis (J32),males,2.0
2014,Chronic sinusitis (J32),persons,5.0
2014,Chronic tubulo-interstitial nephritis (N11),females,3.0
2014,Chronic tubulo-interstitial nephritis (N11),persons,3.0
2014,Chronic viral hepatitis (B18),females,81.0
2014,Chronic viral hepatitis (B18),males,172.0
2014,Chronic viral hepatitis (B18),persons,253.0
2014,Cleft lip and cleft palate (Q35-Q37),females,1.0
2014,Cleft lip and cleft palate (Q35-Q37),persons,1.0
2014,Cleft palate (Q35),females,1.0
2014,Cleft palate (Q35),persons,1.0
2014,"Coagulation defects, purpura and other haemorrhagic conditions (D65-D69)",females,58.0
2014,"Coagulation defects, purpura and other haemorrhagic conditions (D65-D69)",males,52.0
2014,"Coagulation defects, purpura and other haemorrhagic conditions (D65-D69)",persons,110.0
2014,Complications and ill-defined descriptions of heart disease (I51),females,283.0
2014,Complications and ill-defined descriptions of heart disease (I51),males,276.0
2014,Complications and ill-defined descriptions of heart disease (I51),persons,559.0
2014,Complications of labour and delivery (O60-O75),females,1.0
2014,Complications of labour and delivery (O60-O75),persons,1.0
2014,Complications of medical and surgical care (Y40-Y84),females,100.0
2014,Complications of medical and surgical care (Y40-Y84),males,92.0
2014,Complications of medical and surgical care (Y40-Y84),persons,192.0
2014,"Complications of the puerperium, not elsewhere classified (O90)",females,2.0
2014,"Complications of the puerperium, not elsewhere classified (O90)",persons,2.0
2014,Complications predominantly related to the puerperium (O85-O92),females,9.0
2014,Complications predominantly related to the puerperium (O85-O92),persons,9.0
2014,Conditions involving the integument and temperature regulation of fetus and newborn (P80-P83),females,2.0
2014,Conditions involving the integument and temperature regulation of fetus and newborn (P80-P83),males,1.0
2014,Conditions involving the integument and temperature regulation of fetus and newborn (P80-P83),persons,3.0
2014,"Congenital absence, atresia and stenosis of small intestine (Q41)",females,1.0
2014,"Congenital absence, atresia and stenosis of small intestine (Q41)",persons,1.0
2014,Congenital hydrocephalus (Q03),females,2.0
2014,Congenital hydrocephalus (Q03),males,5.0
2014,Congenital hydrocephalus (Q03),persons,7.0
2014,Congenital malformations and deformations of the musculoskeletal system (Q65-Q79),females,18.0
2014,Congenital malformations and deformations of the musculoskeletal system (Q65-Q79),males,15.0
2014,Congenital malformations and deformations of the musculoskeletal system (Q65-Q79),persons,33.0
2014,Congenital malformations of aortic and mitral valves (Q23),females,7.0
2014,Congenital malformations of aortic and mitral valves (Q23),males,18.0
2014,Congenital malformations of aortic and mitral valves (Q23),persons,25.0
2014,Congenital malformations of cardiac chambers and connections (Q20),females,6.0
2014,Congenital malformations of cardiac chambers and connections (Q20),males,8.0
2014,Congenital malformations of cardiac chambers and connections (Q20),persons,14.0
2014,Congenital malformations of cardiac septa (Q21),females,20.0
2014,Congenital malformations of cardiac septa (Q21),males,15.0
2014,Congenital malformations of cardiac septa (Q21),persons,35.0
2014,"Congenital malformations of gallbladder, bile ducts and liver (Q44)",females,3.0
2014,"Congenital malformations of gallbladder, bile ducts and liver (Q44)",males,3.0
2014,"Congenital malformations of gallbladder, bile ducts and liver (Q44)",persons,6.0
2014,Congenital malformations of great arteries (Q25),females,5.0
2014,Congenital malformations of great arteries (Q25),males,6.0
2014,Congenital malformations of great arteries (Q25),persons,11.0
2014,Congenital malformations of great veins (Q26),males,2.0
2014,Congenital malformations of great veins (Q26),persons,2.0
2014,Congenital malformations of larynx (Q31),males,1.0
2014,Congenital malformations of larynx (Q31),persons,1.0
2014,Congenital malformations of lung (Q33),females,5.0
2014,Congenital malformations of lung (Q33),males,1.0
2014,Congenital malformations of lung (Q33),persons,6.0
2014,Congenital malformations of nose (Q30),females,1.0
2014,Congenital malformations of nose (Q30),males,1.0
2014,Congenital malformations of nose (Q30),persons,2.0
2014,Congenital malformations of oesophagus (Q39),females,5.0
2014,Congenital malformations of oesophagus (Q39),males,7.0
2014,Congenital malformations of oesophagus (Q39),persons,12.0
2014,Congenital malformations of pulmonary and tricuspid valves (Q22),females,4.0
2014,Congenital malformations of pulmonary and tricuspid valves (Q22),males,3.0
2014,Congenital malformations of pulmonary and tricuspid valves (Q22),persons,7.0
2014,Congenital malformations of spine and bony thorax (Q76),females,1.0
2014,Congenital malformations of spine and bony thorax (Q76),males,1.0
