country,iso3,sex,major_category,number_of_deaths,percentage_of_total_deaths,Year
Cameroon,CMR,persons,"Communicable, maternal, perinatal and nutritional conditions",141829.71,71.38,2000
Cameroon,CMR,persons,Noncommunicable diseases,46688.36,23.5,2000
Cameroon,CMR,persons,Injuries,10166.41,5.12,2000
Cameroon,CMR,males,"Communicable, maternal, perinatal and nutritional conditions",71406.47,35.94,2000
Cameroon,CMR,males,Noncommunicable diseases,24046.74,12.1,2000
Cameroon,CMR,males,Injuries,7109.24,3.58,2000
Cameroon,CMR,females,"Communicable, maternal, perinatal and nutritional conditions",70423.24,35.44,2000
Cameroon,CMR,females,Noncommunicable diseases,22641.62,11.4,2000
Cameroon,CMR,females,Injuries,3057.17,1.54,2000
Canada,CAN,persons,"Communicable, maternal, perinatal and nutritional conditions",10145.94,4.58,2000
Canada,CAN,persons,Noncommunicable diseases,198535.58,89.65,2000
Canada,CAN,persons,Injuries,12769.28,5.77,2000
Canada,CAN,males,"Communicable, maternal, perinatal and nutritional conditions",4934.59,2.23,2000
Canada,CAN,males,Noncommunicable diseases,99942.93,45.13,2000
Canada,CAN,males,Injuries,8421.75,3.8,2000
Canada,CAN,females,"Communicable, maternal, perinatal and nutritional conditions",5211.36,2.35,2000
Canada,CAN,females,Noncommunicable diseases,98592.65,44.52,2000
Canada,CAN,females,Injuries,4347.53,1.96,2000
Central African Republic,CAF,persons,"Communicable, maternal, perinatal and nutritional conditions",53602.85,75.21,2000
Central African Republic,CAF,persons,Noncommunicable diseases,13785.13,19.34,2000
Central African Republic,CAF,persons,Injuries,3883.74,5.45,2000
Central African Republic,CAF,males,"Communicable, maternal, perinatal and nutritional conditions",26935.68,37.79,2000
Central African Republic,CAF,males,Noncommunicable diseases,8281.57,11.62,2000
Central African Republic,CAF,males,Injuries,2955.27,4.15,2000
Central African Republic,CAF,females,"Communicable, maternal, perinatal and nutritional conditions",26667.18,37.42,2000
Central African Republic,CAF,females,Noncommunicable diseases,5503.56,7.72,2000
Central African Republic,CAF,females,Injuries,928.47,1.3,2000
Chad,TCD,persons,"Communicable, maternal, perinatal and nutritional conditions",101838.38,76.02,2000
Chad,TCD,persons,Noncommunicable diseases,23958.45,17.88,2000
Chad,TCD,persons,Injuries,8165.86,6.1,2000
Chad,TCD,males,"Communicable, maternal, perinatal and nutritional conditions",51627.98,38.54,2000
Chad,TCD,males,Noncommunicable diseases,12678.53,9.46,2000
Chad,TCD,males,Injuries,5672.94,4.23,2000
Chad,TCD,females,"Communicable, maternal, perinatal and nutritional conditions",50210.4,37.48,2000
Chad,TCD,females,Noncommunicable diseases,11279.93,8.42,2000
Chad,TCD,females,Injuries,2492.92,1.86,2000
Chile,CHL,persons,"Communicable, maternal, perinatal and nutritional conditions",8945.47,10.98,2000
Chile,CHL,persons,Noncommunicable diseases,64622.69,79.34,2000
Chile,CHL,persons,Injuries,7883.72,9.68,2000
Chile,CHL,males,"Communicable, maternal, perinatal and nutritional conditions",4572.1,5.61,2000
Chile,CHL,males,Noncommunicable diseases,33289.0,40.87,2000
Chile,CHL,males,Injuries,6343.76,7.79,2000
Chile,CHL,females,"Communicable, maternal, perinatal and nutritional conditions",4373.37,5.37,2000
Chile,CHL,females,Noncommunicable diseases,31333.69,38.47,2000
Chile,CHL,females,Injuries,1539.96,1.89,2000
China,CHN,persons,"Communicable, maternal, perinatal and nutritional conditions",831928.78,9.12,2000
China,CHN,persons,Noncommunicable diseases,7454022.44,81.69,2000
China,CHN,persons,Injuries,839005.06,9.19,2000
China,CHN,males,"Communicable, maternal, perinatal and nutritional conditions",463279.44,5.08,2000
China,CHN,males,Noncommunicable diseases,3998271.29,43.82,2000
China,CHN,males,Injuries,551615.77,6.05,2000
China,CHN,females,"Communicable, maternal, perinatal and nutritional conditions",368649.34,4.04,2000
China,CHN,females,Noncommunicable diseases,3455751.15,37.87,2000
China,CHN,females,Injuries,287389.29,3.15,2000
Colombia,COL,persons,"Communicable, maternal, perinatal and nutritional conditions",27804.82,14.26,2000
Colombia,COL,persons,Noncommunicable diseases,114721.98,58.85,2000
Colombia,COL,persons,Injuries,52416.85,26.89,2000
Colombia,COL,males,"Communicable, maternal, perinatal and nutritional conditions",15306.74,7.85,2000
Colombia,COL,males,Noncommunicable diseases,55426.86,28.43,2000
Colombia,COL,males,Injuries,45909.03,23.55,2000
Colombia,COL,females,"Communicable, maternal, perinatal and nutritional conditions",12498.07,6.41,2000
Colombia,COL,females,Noncommunicable diseases,59295.12,30.42,2000
Colombia,COL,females,Injuries,6507.82,3.34,2000
Comoros,COM,persons,"Communicable, maternal, perinatal and nutritional conditions",2404.3,49.48,2000
Comoros,COM,persons,Noncommunicable diseases,2068.6,42.57,2000
Comoros,COM,persons,Injuries,386.69,7.96,2000
Comoros,COM,males,"Communicable, maternal, perinatal and nutritional conditions",1233.31,25.38,2000
Comoros,COM,males,Noncommunicable diseases,1075.68,22.14,2000
Comoros,COM,males,Injuries,251.8,5.18,2000
Comoros,COM,females,"Communicable, maternal, perinatal and nutritional conditions",1170.99,24.1,2000
Comoros,COM,females,Noncommunicable diseases,992.92,20.43,2000
Comoros,COM,females,Injuries,134.89,2.78,2000
Congo,COG,persons,"Communicable, maternal, perinatal and nutritional conditions",25252.42,60.89,2000
Congo,COG,persons,Noncommunicable diseases,13379.5,32.26,2000
Congo,COG,persons,Injuries,2842.45,6.85,2000
Congo,COG,males,"Communicable, maternal, perinatal and nutritional conditions",12125.08,29.24,2000
Congo,COG,males,Noncommunicable diseases,6282.41,15.15,2000
Congo,COG,males,Injuries,2009.61,4.85,2000
Congo,COG,females,"Communicable, maternal, perinatal and nutritional conditions",13127.34,31.65,2000
Congo,COG,females,Noncommunicable diseases,7097.1,17.11,2000
Congo,COG,females,Injuries,832.83,2.01,2000
Costa Rica,CRI,persons,"Communicable, maternal, perinatal and nutritional conditions",1304.02,9.17,2000
Costa Rica,CRI,persons,Noncommunicable diseases,11113.97,78.17,2000
Costa Rica,CRI,persons,Injuries,1800.55,12.66,2000
Costa Rica,CRI,males,"Communicable, maternal, perinatal and nutritional conditions",704.46,4.95,2000
Costa Rica,CRI,males,Noncommunicable diseases,5792.36,40.74,2000
Costa Rica,CRI,males,Injuries,1368.03,9.62,2000
Costa Rica,CRI,females,"Communicable, maternal, perinatal and nutritional conditions",599.55,4.22,2000
Costa Rica,CRI,females,Noncommunicable diseases,5321.61,37.43,2000
Costa Rica,CRI,females,Injuries,432.52,3.04,2000
Côte d'Ivoire,CIV,persons,"Communicable, maternal, perinatal and nutritional conditions",187496.22,79.69,2000
Côte d'Ivoire,CIV,persons,Noncommunicable diseases,36916.64,15.69,2000
Côte d'Ivoire,CIV,persons,Injuries,10865.65,4.62,2000
Côte d'Ivoire,CIV,males,"Communicable, maternal, perinatal and nutritional conditions",97555.64,41.46,2000
Côte d'Ivoire,CIV,males,Noncommunicable diseases,22817.26,9.7,2000
Côte d'Ivoire,CIV,males,Injuries,7632.52,3.24,2000
Côte d'Ivoire,CIV,females,"Communicable, maternal, perinatal and nutritional conditions",89940.58,38.23,2000
Côte d'Ivoire,CIV,females,Noncommunicable diseases,14099.38,5.99,2000
Côte d'Ivoire,CIV,females,Injuries,3233.13,1.37,2000
Croatia,HRV,persons,"Communicable, maternal, perinatal and nutritional conditions",1585.64,3.32,2000
Croatia,HRV,persons,Noncommunicable diseases,43364.68,90.81,2000
Croatia,HRV,persons,Injuries,2801.26,5.87,2000
Croatia,HRV,males,"Communicable, maternal, perinatal and nutritional conditions",853.99,1.79,2000
Croatia,HRV,males,Noncommunicable diseases,21856.63,45.77,2000
Croatia,HRV,males,Injuries,1966.75,4.12,2000
Croatia,HRV,females,"Communicable, maternal, perinatal and nutritional conditions",731.65,1.53,2000
Croatia,HRV,females,Noncommunicable diseases,21508.05,45.04,2000
Croatia,HRV,females,Injuries,834.51,1.75,2000
Cuba,CUB,persons,"Communicable, maternal, perinatal and nutritional conditions",6619.27,8.78,2000
Cuba,CUB,persons,Noncommunicable diseases,61275.52,81.3,2000
Cuba,CUB,persons,Injuries,7475.77,9.92,2000
