country,iso3,sex,major_category,number_of_deaths,percentage_of_total_deaths
Colombia,COL,females,Noncommunicable diseases,107028.15,29.55
Colombia,COL,females,Injuries,5780.4,1.6
Comoros,COM,persons,"Communicable, maternal, perinatal and nutritional conditions",2069.43,37.57
Comoros,COM,persons,Noncommunicable diseases,2737.69,49.7
Comoros,COM,persons,Injuries,564.96,10.26
Comoros,COM,males,"Communicable, maternal, perinatal and nutritional conditions",1095.91,19.89
Comoros,COM,males,Noncommunicable diseases,1326.78,24.09
Comoros,COM,males,Injuries,366.94,6.66
Comoros,COM,females,"Communicable, maternal, perinatal and nutritional conditions",973.52,17.67
Comoros,COM,females,Noncommunicable diseases,1410.91,25.61
Comoros,COM,females,Injuries,198.02,3.59
Congo,COG,persons,"Communicable, maternal, perinatal and nutritional conditions",25319.22,58.59
Congo,COG,persons,Noncommunicable diseases,14697.51,34.01
Congo,COG,persons,Injuries,2415.56,5.59
Congo,COG,males,"Communicable, maternal, perinatal and nutritional conditions",12438.02,28.78
Congo,COG,males,Noncommunicable diseases,7101.83,16.43
Congo,COG,males,Injuries,1672.35,3.87
Congo,COG,females,"Communicable, maternal, perinatal and nutritional conditions",12881.2,29.81
Congo,COG,females,Noncommunicable diseases,7595.68,17.58
Congo,COG,females,Injuries,743.21,1.72
Costa Rica,CRI,persons,"Communicable, maternal, perinatal and nutritional conditions",7637.35,24.44
Costa Rica,CRI,persons,Noncommunicable diseases,20889.45,66.85
Costa Rica,CRI,persons,Injuries,2719.99,8.7
Costa Rica,CRI,males,"Communicable, maternal, perinatal and nutritional conditions",4598.54,14.72
Costa Rica,CRI,males,Noncommunicable diseases,10417.8,33.34
Costa Rica,CRI,males,Injuries,2115.41,6.77
Costa Rica,CRI,females,"Communicable, maternal, perinatal and nutritional conditions",3038.81,9.73
Costa Rica,CRI,females,Noncommunicable diseases,10471.65,33.51
Costa Rica,CRI,females,Injuries,604.58,1.93
Côte d'Ivoire,CIV,persons,"Communicable, maternal, perinatal and nutritional conditions",111459.28,53.15
Côte d'Ivoire,CIV,persons,Noncommunicable diseases,74800.4,35.67
Côte d'Ivoire,CIV,persons,Injuries,19989.06,9.53
Côte d'Ivoire,CIV,males,"Communicable, maternal, perinatal and nutritional conditions",62098.47,29.61
Côte d'Ivoire,CIV,males,Noncommunicable diseases,41300.48,19.7
Côte d'Ivoire,CIV,males,Injuries,13550.38,6.46
Côte d'Ivoire,CIV,females,"Communicable, maternal, perinatal and nutritional conditions",49360.81,23.54
Côte d'Ivoire,CIV,females,Noncommunicable diseases,33499.92,15.98
Côte d'Ivoire,CIV,females,Injuries,6438.68,3.07
